project_name,apartment_number,address,latitude,longitude,size_sqm,bedrooms,bathrooms,floor,price_jod,delivery_status,description,notes,photos_url,video_url,responsible_name,phone_number,email,guard_phone,embedding_text,embedding_vector
BO115,112م تسوية,ضاحية الرشيد-حي الكلية العلمية ,,,112.0,3,3,-1,62000,جاهز للتسليم,"شقة مميزة 112م المكونات:
▪️  غرفة ضيوف.
▪️ 🛋مطبخ امريكي 🍴 + معيشة .
▪️ ثلاث غرف نوم 🛏 واحدة ماستر.
▪️  🚿ثلاث حمامات.",يتوفر مدخل اضافي للشقة,https://www.facebook.com/Blueoliverealestate/posts/pfbid0eegQFrmf7DR1uaNb4MfoSqgWoqx575aFgcThfbeFmnAzrVFKPMLQ4GFngu3PreHSl,,م انعام ,777404545,s.otaibi@blueolive.jo,775589451,"شقة مميزة 112م المكونات:
▪️  غرفة ضيوف.
▪️ 🛋مطبخ امريكي 🍴 + معيشة .
▪️ ثلاث غرف نوم 🛏 واحدة ماستر.
▪️  🚿ثلاث حمامات. يتوفر مدخل اضافي للشقة",
BO517,184م ارضي,حي المنصور - شارع ياجوز,,,184.0,3,3,0,100000,جاهز للتسليم,"شقة مميزة 184م 
المكونات:
▪️  غرفة ضيوف.
▪️ 🛋مطبخ امريكي 🍴 + معيشة .
▪️ ثلاث غرف نوم 🛏 واحدة ماستر.
▪️  🚿ثلاث حمامات.
▪️  بلكونتين+ كراج",كراج مستقل + مدخل,https://www.facebook.com/Blueoliverealestate/posts/pfbid02FFrPPTQRmqtu3i3EzqBQVrNHYed335n53jCaXZJLuBAJgXg5t8PzKAD1Cfbzi63kl,,م انعام ,777404545,s.otaibi@blueolive.jo,779091740,"شقة مميزة 184م 
المكونات:
▪️  غرفة ضيوف.
▪️ 🛋مطبخ امريكي 🍴 + معيشة .
▪️ ثلاث غرف نوم 🛏 واحدة ماستر.
▪️  🚿ثلاث حمامات.
▪️  بلكونتين+ كراج كراج مستقل + مدخل",
BO517,117م طابق ثاني,حي المنصور - شارع ياجوز,,,117.0,3,3,2,64000,جاهز للتسليم,"شقة مميزة 117م 
المكونات:
▪️  غرفة ضيوف.
▪️ 🛋مطبخ امريكي 🍴 + معيشة .
▪️ ثلاث غرف نوم 🛏 واحدة ماستر.
▪️  🚿ثلاث حمامات.
▪️  بلكونتين",اطلالة مميزة,https://www.facebook.com/Blueoliverealestate/posts/pfbid0d4WMAomsZd9xe1ikdLD7TbHAfMUecP6PPfspALEbT5a61ezVPtHtaa8R81EagYmql,,م انعام ,777404545,s.otaibi@blueolive.jo,779091740,"شقة مميزة 117م 
المكونات:
▪️  غرفة ضيوف.
▪️ 🛋مطبخ امريكي 🍴 + معيشة .
▪️ ثلاث غرف نوم 🛏 واحدة ماستر.
▪️  🚿ثلاث حمامات.
▪️  بلكونتين اطلالة مميزة",
BO913,150م طابق اول,ضاحية الرشيد-حي الكلية العلمية ,,,150.0,3,3,1,82000,جاهز للتسليم,"🏡 مواصفات الشقة:
مساحة: 150 متر مربع.
تصميم فاخر: كل طابق يحتوي على شقتين فقط، والمبنى مكوّن من 10 شقق فقط.
توزيع مميز:
✅3 غرف نوم
✅3 حمامات
✅صالة ومعيشة واسعة + صالون أنيق
✅غرفة خادمة + غرفة غسيل
✅ مستودع
✅برندة واسعة بإطلالة رائعة",منطقة قريبة من الخدمات ,https://www.facebook.com/Blueoliverealestate/posts/pfbid038Bf9YFMsDtvE8fDYLoi5KAqcW9i9Lzm3pyKqA2k6RHhdv9aEjtAZQRSfPxgR2WbUl,,م انعام ,777404545,s.otaibi@blueolive.jo,775589451,"🏡 مواصفات الشقة:
مساحة: 150 متر مربع.
تصميم فاخر: كل طابق يحتوي على شقتين فقط، والمبنى مكوّن من 10 شقق فقط.
توزيع مميز:
✅3 غرف نوم
✅3 حمامات
✅صالة ومعيشة واسعة + صالون أنيق
✅غرفة خادمة + غرفة غسيل
✅ مستودع
✅برندة واسعة بإطلالة رائعة منطقة قريبة من الخدمات ",
BO913,170م طابق ارضي,ضاحية الرشيد-حي الكلية العلمية ,,,170.0,3,3,0,105000,جاهز للتسليم,"شقة مميزة 170م 
المكونات:
▪️  غرفة ضيوف.
▪️ 🛋مطبخ امريكي 🍴 + معيشة .
▪️ ثلاث غرف نوم 🛏 واحدة ماستر.
▪️  🚿ثلاث حمامات.
▪️  بلكونة",غرفة خادمة ,https://www.facebook.com/Blueoliverealestate/posts/pfbid02Asq4z3tePDbBbsBBHifSZp2RfWN4EFqNykPT4t9QV8EjgAJoquNGcDU7DivYbNmWl,,م انعام ,777404545,s.otaibi@blueolive.jo,775589451,"شقة مميزة 170م 
المكونات:
▪️  غرفة ضيوف.
▪️ 🛋مطبخ امريكي 🍴 + معيشة .
▪️ ثلاث غرف نوم 🛏 واحدة ماستر.
▪️  🚿ثلاث حمامات.
▪️  بلكونة غرفة خادمة ",
BO30,117م طابق ثاني,ابو علندا - دوار الحكمة,,,117.0,3,3,2,50000,جاهز للتسليم,"شقة مميزة 117م في اجمل مناطق ابو علندا 
 للبيع بسعر مغررري من المالك 
 (نقدًا او بالاقساط ) مع هدية مطبخ راكب لفتره محدوده 
📌 منطقة مطله و هادئة .
طابق اول او تاني 
تتكون الشقه من 3 غرف نوم و 3 حمام وصالة و صالون واسع مطبخ وبرنده 
ــــــــ
✹مواصفات الشقق :-
✅تشطيبات مميزة مع كفاله حقيقيه لمدة عامين 
✅حجر رويشد نخب اول.
✅ جبسن بورد موديرن مع سبوتات وإنارة مخفية.
✅ارضيات سيراميك  .
✅أبواب مميزة جداً دهان ايطالي🚪 وابواب رئيسيه امان صناعه تركيه🇹🇷.
✅ مصعد 
✅ كل شقة لها كراج خاص بها 🚗مجهز بخط كهرباء لكل شقة للسيارات الكهربائيه.
✅ كامل العمارة معزولة 
✅ موقع مميز جدا .",اطلالة مميزة,https://www.facebook.com/Blueoliverealestate/posts/pfbid0NWrjZxon4u78Pv8Bdsyd79adArtoNGMtzibwdyb6KtWRrQwHYLhPhpXgqCFzkYAUl,,م انعام ,777404545,s.otaibi@blueolive.jo,787933434,"شقة مميزة 117م في اجمل مناطق ابو علندا 
 للبيع بسعر مغررري من المالك 
 (نقدًا او بالاقساط ) مع هدية مطبخ راكب لفتره محدوده 
📌 منطقة مطله و هادئة .
طابق اول او تاني 
تتكون الشقه من 3 غرف نوم و 3 حمام وصالة و صالون واسع مطبخ وبرنده 
ــــــــ
✹مواصفات الشقق :-
✅تشطيبات مميزة مع كفاله حقيقيه لمدة عامين 
✅حجر رويشد نخب اول.
✅ جبسن بورد موديرن مع سبوتات وإنارة مخفية.
✅ارضيات سيراميك  .
✅أبواب مميزة جداً دهان ايطالي🚪 وابواب رئيسيه امان صناعه تركيه🇹🇷.
✅ مصعد 
✅ كل شقة لها كراج خاص بها 🚗مجهز بخط كهرباء لكل شقة للسيارات الكهربائيه.
✅ كامل العمارة معزولة 
✅ موقع مميز جدا . اطلالة مميزة",
BO31,130م طابق ثالث,ابو علندا - دوار الحكمة,,,130.0,3,3,3,55000,جاهز للتسليم,"شقة مميزة 130م في اجمل مناطق ابو علندا 
 للبيع بسعر مغررري من المالك 
 (نقدًا او بالاقساط ) مع هدية مطبخ راكب لفتره محدوده 
📌 منطقة مطله و هادئة .
طابق اول او تاني 
تتكون الشقه من 3 غرف نوم و 3 حمام وصالة و صالون واسع مطبخ وبرنده 
ــــــــ
✹مواصفات الشقق :-
✅تشطيبات مميزة مع كفاله حقيقيه لمدة عامين 
✅حجر رويشد نخب اول.
✅ جبسن بورد موديرن مع سبوتات وإنارة مخفية.
✅ارضيات سيراميك  .
✅أبواب مميزة جداً دهان ايطالي🚪 وابواب رئيسيه امان صناعه تركيه🇹🇷.
✅ مصعد 
✅ كل شقة لها كراج خاص بها 🚗مجهز بخط كهرباء لكل شقة للسيارات الكهربائيه.
✅ كامل العمارة معزولة 
✅ موقع مميز جدا .",يتوفر جميع الخدمات,https://www.facebook.com/Blueoliverealestate/posts/pfbid0NWrjZxon4u78Pv8Bdsyd79adArtoNGMtzibwdyb6KtWRrQwHYLhPhpXgqCFzkYAUl,,م انعام ,777404545,s.otaibi@blueolive.jo,787933434,"شقة مميزة 130م في اجمل مناطق ابو علندا 
 للبيع بسعر مغررري من المالك 
 (نقدًا او بالاقساط ) مع هدية مطبخ راكب لفتره محدوده 
📌 منطقة مطله و هادئة .
طابق اول او تاني 
تتكون الشقه من 3 غرف نوم و 3 حمام وصالة و صالون واسع مطبخ وبرنده 
ــــــــ
✹مواصفات الشقق :-
✅تشطيبات مميزة مع كفاله حقيقيه لمدة عامين 
✅حجر رويشد نخب اول.
✅ جبسن بورد موديرن مع سبوتات وإنارة مخفية.
✅ارضيات سيراميك  .
✅أبواب مميزة جداً دهان ايطالي🚪 وابواب رئيسيه امان صناعه تركيه🇹🇷.
✅ مصعد 
✅ كل شقة لها كراج خاص بها 🚗مجهز بخط كهرباء لكل شقة للسيارات الكهربائيه.
✅ كامل العمارة معزولة 
✅ موقع مميز جدا . يتوفر جميع الخدمات",
BO28, طابق اول133م ,ابو علندا - دوار الحكمة,,,133.0,3,3,1,58000,جاهز للتسليم,"
🏡 مساحة 133متر مربع
✨ تشطيب سوبر ديلوكس فاااخر جداً
🍽️ مطبخ راكب جاهز
🛏️ 3 غرف نوم
🛁 3 حمامات
🛋️ صالون + صالة
🚗 كراج خاص
☀️  برندة واسعة
المميزات:
✅ كفالة حقيقية من المالك لمدة سنتين
🏢 متوفر عدة شقق وطوابق مختلفة
🧱 صرف صحي متوفر
📍 موقع استراتيجي يتوسط كافة الخدمات
💰 معفاة من الرسوم
🤝 من المالك مباشرة – بدون وسيط
🧾 إمكانية التقسيط من المالك",يتوفر جميع الخدمات,https://www.facebook.com/Blueoliverealestate/posts/pfbid02Gq3TTvFLoMDcsfzp3J1wZZCLB9YgBrqD1Tqcadv57nepnbGsZuVvswexMxGW1dgEl,,م انعام ,777404545,s.otaibi@blueolive.jo,787933434,"
🏡 مساحة 133متر مربع
✨ تشطيب سوبر ديلوكس فاااخر جداً
🍽️ مطبخ راكب جاهز
🛏️ 3 غرف نوم
🛁 3 حمامات
🛋️ صالون + صالة
🚗 كراج خاص
☀️  برندة واسعة
المميزات:
✅ كفالة حقيقية من المالك لمدة سنتين
🏢 متوفر عدة شقق وطوابق مختلفة
🧱 صرف صحي متوفر
📍 موقع استراتيجي يتوسط كافة الخدمات
💰 معفاة من الرسوم
🤝 من المالك مباشرة – بدون وسيط
🧾 إمكانية التقسيط من المالك يتوفر جميع الخدمات",
BO32,113م مع روف,ابو علندا - دوار الحكمة,,,113.0,3,3,3,69000,جاهز للتسليم,"شقة مميزة في اجمل مناطق ابو علندا  طابق ثالث مع روف دوبلكس
مساحة 113م + روف 50م + تراس كبيررر
 بسعر مغررري جدااا  🔥🔥 - قابل للتفاوض
مقسمه بتصميم عصري
📍 المواصفات:
▪️3 غرف نوم واحدة ماستر
▪️ بلكونة عدد 2
▪️صالون وصالة مريحة 
▪️ مطبخ امريكي
▪️كراج خاص في طابق الكراجات
▪️روف مع تراس كبير
🌄 الإطلالة:
إطلالة بانورامية خلابة على جبال أبو علندا.",روف مميز,https://www.facebook.com/Blueoliverealestate/posts/pfbid036JLdMNsTvbsF5wGHoGkdbPNn5ZsnvEFRuYX87BBC8EccfkhnhtNM1NksQjdJgYZvl,,م انعام ,777404545,s.otaibi@blueolive.jo,787933434,"شقة مميزة في اجمل مناطق ابو علندا  طابق ثالث مع روف دوبلكس
مساحة 113م + روف 50م + تراس كبيررر
 بسعر مغررري جدااا  🔥🔥 - قابل للتفاوض
مقسمه بتصميم عصري
📍 المواصفات:
▪️3 غرف نوم واحدة ماستر
▪️ بلكونة عدد 2
▪️صالون وصالة مريحة 
▪️ مطبخ امريكي
▪️كراج خاص في طابق الكراجات
▪️روف مع تراس كبير
🌄 الإطلالة:
إطلالة بانورامية خلابة على جبال أبو علندا. روف مميز",
BO24,110م مع روف,ابو علندا - دوار الحكمة,,,110.0,3,3,3,52000,جاهز للتسليم,"عرض مغري شقة فاخره   تشطيب سوبر ديلوكس طابق ثالث مع روف مساحه 135م  للبيع من المالك و ترس 35م مطله  و بسعر مغري مع امكانيه   في أجمل مواقع ابو علندا الجديده إطلاله بانوراما 
كفاله لمده سنتين من شركه الاسكان 
✨ المنطقه مميزه هادئه و مطل و قريبه من الخدمات 
مخدومه  صرف صحي .
تقسيمه الشقه 
✅3 غرف نوم
✅3 حمامات
✅صالة و صالون 
✅بلكونه بالاضافه الى كراج في طابق الكراجات 
📞 للتواصل والاستفسار: 0790342041",روف منفصل,https://www.facebook.com/Blueoliverealestate/posts/pfbid0AaU22HRk3Wiah7nu8vJmPtGXhXUPQYd6vDPFnT4Lt9gKC73Rtvne3f1agU27o41zl,.,م انعام ,777404545,s.otaibi@blueolive.jo,787933434,"عرض مغري شقة فاخره   تشطيب سوبر ديلوكس طابق ثالث مع روف مساحه 135م  للبيع من المالك و ترس 35م مطله  و بسعر مغري مع امكانيه   في أجمل مواقع ابو علندا الجديده إطلاله بانوراما 
كفاله لمده سنتين من شركه الاسكان 
✨ المنطقه مميزه هادئه و مطل و قريبه من الخدمات 
مخدومه  صرف صحي .
تقسيمه الشقه 
✅3 غرف نوم
✅3 حمامات
✅صالة و صالون 
✅بلكونه بالاضافه الى كراج في طابق الكراجات 
📞 للتواصل والاستفسار: 0790342041 روف منفصل",
